Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2008-12-11 19:39:00,1.842,0.276,241.68,7.6,0,0.0,0.0
2008-12-11 19:40:00,2.476,0.3,240.13,10.6,0,0.0,10.0
2008-12-11 19:41:00,3.77,0.5,238.14,16.4,0,0.0,18.0
2008-12-11 19:42:00,4.332,0.558,237.32,18.4,0,0.0,17.0
2008-12-11 19:43:00,2.768,0.292,238.46,11.6,0,0.0,18.0
2008-12-11 19:44:00,2.528,0.148,238.7,10.6,0,0.0,18.0
2008-12-11 19:45:00,2.5,0.146,238.28,10.4,0,0.0,17.0
2008-12-11 19:46:00,2.484,0.114,238.76,10.4,0,0.0,18.0
2008-12-11 19:47:00,2.454,0.05,239.72,10.2,0,0.0,18.0
2008-12-11 19:48:00,2.452,0.048,239.74,10.2,0,0.0,17.0
2008-12-11 19:49:00,2.458,0.05,240.46,10.2,0,0.0,18.0
2008-12-11 19:50:00,2.452,0.0,240.62,10.2,0,0.0,18.0
2008-12-11 19:51:00,2.37,0.08,240.72,9.8,0,0.0,18.0
2008-12-11 19:52:00,2.342,0.082,239.96,9.6,0,0.0,17.0
2008-12-11 19:53:00,2.322,0.082,239.55,9.6,0,0.0,18.0
2008-12-11 19:54:00,2.322,0.08,239.47,9.6,0,0.0,18.0
2008-12-11 19:55:00,2.364,0.082,239.01,9.8,0,0.0,17.0
2008-12-11 19:56:00,2.328,0.08,239.84,9.6,0,0.0,18.0
2008-12-11 19:57:00,2.342,0.078,240.62,9.6,0,0.0,18.0
2008-12-11 19:58:00,2.338,0.078,240.47,9.6,0,0.0,17.0
2008-12-11 19:59:00,2.336,0.08,240.38,9.6,0,0.0,18.0
2008-12-11 20:00:00,2.336,0.08,240.23,9.6,0,0.0,18.0
2008-12-11 20:01:00,2.344,0.08,240.78,9.6,0,0.0,18.0
2008-12-11 20:02:00,2.35,0.08,241.15,9.6,0,0.0,18.0
2008-12-11 20:03:00,2.368,0.078,241.99,9.8,0,0.0,17.0
2008-12-11 20:04:00,2.382,0.08,242.55,9.8,0,0.0,19.0
2008-12-11 20:05:00,2.504,0.13,242.01,10.2,0,0.0,18.0
2008-12-11 20:06:00,2.506,0.132,241.55,10.4,0,0.0,17.0
2008-12-11 20:07:00,2.584,0.132,241.19,10.8,0,0.0,18.0
2008-12-11 20:08:00,3.374,0.126,239.2,14.4,0,0.0,18.0
2008-12-11 20:09:00,3.032,0.102,240.17,12.8,0,0.0,18.0
2008-12-11 20:10:00,3.056,0.11,239.75,13.0,0,0.0,17.0
2008-12-11 20:11:00,2.51,0.13,240.58,10.4,0,0.0,18.0
2008-12-11 20:12:00,2.512,0.132,240.61,10.4,0,0.0,18.0
2008-12-11 20:13:00,2.492,0.13,240.86,10.2,0,0.0,18.0
2008-12-11 20:14:00,2.482,0.126,240.96,10.2,0,0.0,17.0
2008-12-11 20:15:00,2.624,0.078,242.14,10.8,0,0.0,18.0
2008-12-11 20:16:00,2.77,0.0,242.75,11.4,0,0.0,18.0
2008-12-11 20:17:00,2.772,0.0,243.32,11.4,0,0.0,19.0
2008-12-11 20:18:00,2.776,0.0,243.5,11.4,0,0.0,18.0
2008-12-11 20:19:00,2.778,0.0,244.06,11.4,0,0.0,18.0
2008-12-11 20:20:00,2.682,0.0,243.49,11.0,0,0.0,18.0
2008-12-11 20:21:00,2.756,0.05,241.31,11.4,0,0.0,18.0
2008-12-11 20:22:00,2.42,0.076,242.28,10.0,0,0.0,18.0
2008-12-11 20:23:00,2.466,0.07,239.13,10.2,0,0.0,18.0
2008-12-11 20:24:00,2.432,0.07,238.29,10.2,0,0.0,17.0
2008-12-11 20:25:00,2.448,0.128,238.28,10.2,0,0.0,17.0
2008-12-11 20:26:00,2.59,0.202,238.79,10.8,0,0.0,18.0
2008-12-11 20:27:00,2.62,0.206,239.56,11.0,0,0.0,18.0
2008-12-11 20:28:00,2.632,0.208,240.33,11.0,0,0.0,17.0
2008-12-11 20:29:00,2.604,0.2,238.85,10.8,0,0.0,18.0
2008-12-11 20:30:00,2.58,0.154,239.43,10.8,0,0.0,17.0
2008-12-11 20:31:00,2.54,0.102,239.11,10.6,0,0.0,18.0
2008-12-11 20:32:00,2.49,0.104,239.15,10.4,0,0.0,18.0
2008-12-11 20:33:00,2.434,0.106,239.4,10.2,0,0.0,17.0
2008-12-11 20:34:00,2.44,0.106,239.73,10.2,0,0.0,18.0
2008-12-11 20:35:00,2.438,0.106,239.74,10.2,0,0.0,17.0
2008-12-11 20:36:00,2.436,0.106,239.62,10.2,0,0.0,18.0
2008-12-11 20:37:00,2.448,0.102,239.55,10.2,0,0.0,18.0
2008-12-11 20:38:00,2.444,0.1,238.92,10.2,0,0.0,17.0
2008-12-11 20:39:00,2.432,0.098,238.52,10.2,0,0.0,18.0
2008-12-11 20:40:00,2.434,0.098,238.62,10.2,0,0.0,17.0
2008-12-11 20:41:00,2.426,0.098,239.01,10.2,0,0.0,18.0
2008-12-11 20:42:00,2.406,0.098,238.61,10.0,0,0.0,17.0
2008-12-11 20:43:00,2.422,0.1,239.4,10.0,0,0.0,18.0
2008-12-11 20:44:00,2.432,0.102,239.84,10.0,0,0.0,17.0
2008-12-11 20:45:00,2.392,0.0,240.13,10.0,0,0.0,18.0
2008-12-11 20:46:00,2.336,0.0,239.77,9.6,0,0.0,18.0
2008-12-11 20:47:00,2.342,0.0,240.0,9.8,0,0.0,17.0
2008-12-11 20:48:00,2.262,0.05,240.44,9.4,0,0.0,18.0
2008-12-11 20:49:00,1.384,0.052,242.15,6.0,0,0.0,3.0
2008-12-11 20:50:00,1.224,0.052,241.28,5.0,0,0.0,0.0
2008-12-11 20:51:00,1.222,0.052,241.4,5.0,0,0.0,0.0
2008-12-11 20:52:00,1.328,0.052,242.27,5.6,0,0.0,0.0
2008-12-11 20:53:00,1.232,0.048,242.12,5.0,0,0.0,0.0
2008-12-11 20:54:00,1.234,0.046,242.04,5.0,0,0.0,0.0
2008-12-11 20:55:00,1.236,0.046,242.18,5.0,0,0.0,0.0
2008-12-11 20:56:00,1.234,0.046,241.96,5.0,0,0.0,0.0
2008-12-11 20:57:00,1.232,0.048,241.73,5.0,0,0.0,0.0
2008-12-11 20:58:00,1.234,0.048,242.02,5.0,0,0.0,0.0
2008-12-11 20:59:00,1.236,0.048,242.47,5.0,0,0.0,0.0
2008-12-11 21:00:00,1.23,0.048,242.42,5.0,0,0.0,0.0
2008-12-11 21:01:00,1.246,0.048,242.48,5.2,0,0.0,0.0
2008-12-11 21:02:00,1.256,0.048,242.22,5.2,0,0.0,0.0
2008-12-11 21:03:00,1.318,0.0,242.75,5.4,0,0.0,0.0
2008-12-11 21:04:00,1.336,0.054,242.12,5.6,0,0.0,0.0
2008-12-11 21:05:00,1.336,0.054,242.09,5.6,0,0.0,0.0
2008-12-11 21:06:00,1.33,0.052,241.38,5.6,0,0.0,0.0
2008-12-11 21:07:00,1.328,0.05,240.94,5.6,0,0.0,0.0
2008-12-11 21:08:00,1.33,0.052,241.18,5.6,0,0.0,0.0
2008-12-11 21:09:00,1.32,0.05,241.06,5.4,0,0.0,0.0
2008-12-11 21:10:00,1.328,0.052,241.57,5.6,0,0.0,0.0
2008-12-11 21:11:00,1.332,0.054,242.37,5.4,0,0.0,0.0
2008-12-11 21:12:00,1.328,0.054,241.96,5.4,0,0.0,0.0
2008-12-11 21:13:00,1.328,0.054,242.04,5.4,0,0.0,0.0
2008-12-11 21:14:00,1.332,0.056,242.52,5.4,0,0.0,0.0
2008-12-11 21:15:00,1.26,0.0,242.4,5.2,0,0.0,0.0
2008-12-11 21:16:00,1.186,0.046,241.96,4.8,0,0.0,0.0
2008-12-11 21:17:00,1.186,0.046,242.01,4.8,0,0.0,0.0
2008-12-11 21:18:00,1.186,0.046,241.82,4.8,0,0.0,0.0
2008-12-11 21:19:00,1.184,0.046,241.57,4.8,0,0.0,0.0
2008-12-11 21:20:00,1.202,0.0,241.41,5.0,0,0.0,0.0
2008-12-11 21:21:00,1.288,0.09,240.56,5.4,0,1.0,0.0
2008-12-11 21:22:00,1.366,0.202,239.97,5.8,0,1.0,0.0
2008-12-11 21:23:00,1.36,0.202,239.94,5.6,0,2.0,0.0
2008-12-11 21:24:00,1.358,0.202,239.75,5.6,0,1.0,0.0
2008-12-11 21:25:00,1.36,0.204,240.19,5.6,0,2.0,0.0
2008-12-11 21:26:00,1.36,0.204,240.23,5.6,0,1.0,0.0
2008-12-11 21:27:00,1.36,0.204,240.47,5.6,0,1.0,0.0
2008-12-11 21:28:00,1.358,0.204,240.5,5.6,0,2.0,0.0
2008-12-11 21:29:00,1.42,0.202,240.3,6.0,0,1.0,0.0
2008-12-11 21:30:00,1.304,0.19,240.55,5.6,0,2.0,0.0
2008-12-11 21:31:00,0.8,0.164,240.82,3.4,0,1.0,0.0
2008-12-11 21:32:00,0.782,0.166,241.12,3.2,0,1.0,0.0
2008-12-11 21:33:00,0.846,0.166,241.52,3.6,0,2.0,0.0
2008-12-11 21:34:00,0.842,0.168,242.17,3.4,0,1.0,0.0
2008-12-11 21:35:00,0.84,0.168,242.52,3.4,0,2.0,0.0
2008-12-11 21:36:00,0.836,0.166,241.96,3.4,0,1.0,0.0
2008-12-11 21:37:00,0.836,0.166,242.3,3.4,0,1.0,0.0
2008-12-11 21:38:00,0.834,0.168,242.4,3.4,0,2.0,0.0
2008-12-11 21:39:00,0.838,0.168,242.47,3.4,0,1.0,0.0
2008-12-11 21:40:00,0.79,0.172,242.75,3.2,0,1.0,0.0
2008-12-11 21:41:00,0.644,0.0,243.02,2.6,0,2.0,0.0
2008-12-11 21:42:00,0.64,0.0,242.41,2.6,0,1.0,0.0
2008-12-11 21:43:00,0.638,0.0,241.96,2.6,0,1.0,0.0
2008-12-11 21:44:00,0.618,0.0,241.61,2.6,0,1.0,0.0
